,steam_appid,categories,genres,header_image,short_description,meta,name,developer,publisher,positive,negative,userscore,price,ccu
2589,1079800.0,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1079800/header_alt_assets_2.jpg?t=1655398623,"Pistol Whip is an unstoppable VR action-rhythm FPS. Journey through a cinematic bullet hell powered by a breakneck soundtrack to become the ultimate action hero legend. With arcade-style scenes/songs, story-driven cinematic campaigns, the Styles system for endless ways to play, Contracts, &amp; more!",83.0,Pistol Whip,Cloudhead Games ltd.,Cloudhead Games ltd.,2947,199,0,2999.0,52
2590,765870.0,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/765870/header.jpg?t=1657792312,"My new adventure takes me from the end of the ’80s directly into the 21st century and wow, how the world has changed! While my view of the world and women from way back in the 1980s collides with modern reality, I’m all set to date my way across the modern world!",72.0,Leisure Suit Larry - Wet Dreams Don't Dry,CrazyBunch,Assemble Entertainment,1031,167,0,299.0,52
2591,1137460.0,"['Single-player', 'Steam Achievements', 'Full controller support']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1137460/header.jpg?t=1640166693,[3D 3rd Person Perma-Death Runner Game]Try to overcome various obstacles until the end.,,ALTF4,PUMPKIM,PUMPKIM,6811,1411,0,299.0,52
2592,1236720.0,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Remote Play Together']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/1236720/header.jpg?t=1617637334,"Become the spirits of the land, and defend the island from colonizing Invaders spreading blight and destruction! Your spirits work with the native islanders to increase your power and drive the invading colonists from your island in this strategic area-control game.",,Spirit Island,Handelabra Games Inc.,Handelabra Games Inc.,485,41,0,2499.0,52
2593,1456200.0,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1456200/header.jpg?t=1636052216,"Drift over some of Japan's most legendary mountain passes, compete against your friends or players from around the world in epic battles, make deliveries, buy new cars and set records in the world rankings!",,Initial Drift Online,RewindApp,RewindApp,1140,334,0,49.0,52
2594,21980.0,"['Single-player', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/21980/header.jpg?t=1654079460,"THE OLD WEST, 1864. In order to save their family, the McCall brothers will kill anyone who stands between them and the legendary Gold of Juarez.",78.0,Call of Juarez: Bound in Blood,Techland,Techland Publishing,2532,426,0,199.0,52
2595,1618230.0,"['Single-player', 'Steam Achievements', 'Steam Cloud']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/1618230/header.jpg?t=1646284820,"It is a love oriented short visual novel, which contains a wealth of interesting games and a large number of exquisite CG pictures. The man lives in the same apartment with his friends, works in the same company, and leads a monotonous life. The appearance of interns has changed the repetitive life.",,恋爱关系/Romance,ADOG,ADOG,1190,176,0,399.0,52
2596,666220.0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Includes level editor']",Action,https://cdn.akamai.steamstatic.com/steam/apps/666220/header.jpg?t=1629020337,"CS2D is a free fast-paced top-down multiplayer shooter. Featuring many different game modes, a built-in map editor and much more.",,CS2D,Unreal Software,Unreal Software,7374,827,0,0.0,52
2597,1187510.0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Stats']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/1187510/header.jpg?t=1607981942,"Become what you have always imagined, a rock with no responsibilities, no debt, and no worries. The only thing on your checklist is to exist and watch as time fades away...also to become the golden rock.",,Rock Simulator,Vinoo,Vinoo,715,41,0,199.0,52
2598,271360.0,"['Single-player', 'Steam Achievements', 'Steam Cloud']",Simulation,https://cdn.akamai.steamstatic.com/steam/apps/271360/header.jpg?t=1641983739,"Economic booms, stock market crashes, oil crises, upswings, triumphs... Now you can become the greatest power in industry!",,Industry Giant 2,"Fancy Bytes, Reactor",Toplitz Productions,652,109,0,999.0,52
