,steam_appid,name,tags
46,582010,Monster Hunter: World,action singleplayer multiplayer coop steamachievements steamtradingcards partialcontrollersupport steamcloud stats steamleaderboards remoteplayontablet welcome to a new world in monster hunter world the latest installment in the series you can enjoy the ultimate hunting experience using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement capcomcoltd capcomcoltd coop  multiplayer  action  openworld  rpg  thirdperson  charactercustomization  adventure  fantasy  difficult  singleplayer  actionrpg  exploration  greatsoundtrack  replayvalue  atmospheric  hackandslash  jrpg  soulslike  mmorpg 
47,377160,Fallout 4,rpg solo succèssteam compatcontrôleurscomplète steamcloud remoteplaysurtéléphone remoteplaysurtablette remoteplaysurtélévision bethesda game studios studio de développement maintes fois récompensé à lorigine de fallout 3 et de the elder scrolls v skyrim vous invite à découvrir fallout 4 leur titre le plus ambitieux à ce jour incarnant la nouvelle génération du jeu en monde ouvert bethesdagamestudios bethesdasoftworks openworld  postapocalyptic  singleplayer  exploration  rpg  adventure  atmospheric  shooter  firstperson  storyrich  action  scifi  fps  actionrpg  sandbox  greatsoundtrack  thirdperson  survival  thirdpersonshooter  charactercustomization 
48,306130,The Elder Scrolls Online,action multiplayer mmo pvp onlinepvp coop onlinecoop steamtradingcards captionsavailable inapppurchases partialcontrollersupport join over 20 million players in the awardwinning online multiplayer rpg and experience limitless adventure in a persistent elder scrolls world battle craft steal or explore and combine different types of equipment and abilities to create your own style of play no game subscription required zenimaxonlinestudios bethesdasoftworks rpg  mmorpg  openworld  adventure  fantasy  exploration  multiplayer  singleplayer  massivelymultiplayer  action  pvp  charactercustomization  pve  lorerich  chooseyourownadventure  storyrich  magic  classbased  actionrpg  atmospheric 
49,8930,Sid Meier's Civilization V,strategy singleplayer multiplayer steamachievements steamtradingcards steamcloud remoteplayontablet create discover and download new playercreated maps scenarios interfaces and more firaxisgamesaspyrmacaspyrlinux kaspyrmacaspyrlinux turnbasedstrategy  strategy  turnbased  multiplayer  historical  4x  addictive  singleplayer  hexgrid  grandstrategy  replayvalue  coop  tactical  economy  diplomacy  moddable  simulation  classic  greatsoundtrack  touchfriendly 
50,550,Left 4 Dead 2,action singleplayer multiplayer pvp onlinepvp coop onlinecoop steamachievements fullcontrollersupport steamtradingcards captionsavailable steamworkshop steamcloud valveanticheatenabled stats includessourcesdk commentaryavailable remoteplayonphone remoteplayontablet remoteplayontv remoteplaytogether set in the zombie apocalypse left 4 dead 2 l4d2 is the highly anticipated sequel to the awardwinning left 4 dead the 1 coop game of 2008 this cooperative action horror fps takes you and your friends through the cities swamps and cemeteries of the deep south from savannah to new orleans across five expansive campaigns valve valve zombies  coop  fps  multiplayer  shooter  onlinecoop  action  survival  horror  firstperson  gore  teambased  moddable  survivalhorror  postapocalyptic  singleplayer  adventure  localcoop  replayvalue  tactical 
51,1222670,The Sims 4,casual singleplayer steamtradingcards remoteplayontablet play with life and discover the possibilities unleash your imagination and create a world of sims thats wholly unique explore and customize every detail from sims to homesand much more maxis electronicarts freetoplay  lifesim  charactercustomization  building  sandbox  romance  singleplayer  immersivesim  simulation  datingsim  cute  relaxing  casual  funny  realistic  familyfriendly  adventure  cartoony  multiplayer  fantasy 
52,255710,Cities: Skylines,simulation singleplayer steamachievements steamtradingcards steamworkshop partialcontrollersupport steamcloud includesleveleditor remoteplayontablet cities skylines is a modern take on the classic city simulation the game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some wellestablished tropes of the city building experience colossalorderltd paradoxinteractive citybuilder  simulation  building  management  strategy  sandbox  singleplayer  moddable  economy  resourcemanagement  mod  realistic  replayvalue  casual  modern  realtimewithpause  familyfriendly  greatsoundtrack  funny  action 
53,107410,Arma 3,action singleplayer multiplayer pvp onlinepvp lanpvp coop onlinecoop lancoop steamachievements steamtradingcards captionsavailable steamworkshop partialcontrollersupport steamleaderboards includesleveleditor experience true combat gameplay in a massive military sandbox deploying a wide variety of single and multiplayer content over 20 vehicles and 40 weapons and limitless opportunities for content creation this is the pcs premier military game authentic diverse open  arma 3 sends you to war bohemiainteractive bohemiainteractive military  action  multiplayer  simulation  shooter  realistic  firstperson  openworld  tactical  fps  war  coop  strategy  sandbox  singleplayer  moddable  combat  onlinecoop  teambased  thirdpersonshooter 
54,292030,The Witcher 3: Wild Hunt,rpg singleplayer steamachievements fullcontrollersupport steamtradingcards steamcloud remoteplayontablet remoteplayontv as war rages on throughout the northern realms you take on the greatest contract of your life  tracking down the child of prophecy a living weapon that can alter the shape of the world cdprojektred cdprojektred openworld  rpg  storyrich  atmospheric  mature  fantasy  adventure  singleplayer  nudity  choicesmatter  greatsoundtrack  thirdperson  medieval  action  multipleendings  actionrpg  magic  darkfantasy  dark  sandbox 
55,1158310,Crusader Kings III,rpg singleplayer multiplayer pvp onlinepvp steamachievements steamtradingcards steamworkshop steamcloud remoteplayontablet love fight scheme and claim greatness determine your noble houses legacy in the sprawling grand strategy of crusader kings iii death is only the beginning as you guide your dynastys bloodline in the rich and largerthanlife simulation of the middle ages paradoxdevelopmentstudio paradoxinteractive strategy  simulation  rpg  grandstrategy  medieval  historical  management  rts  charactercustomization  lifesim  4x  singleplayer  sandbox  choicesmatter  war  economy  moddable  political  multiplayer  realtimewithpause 
56,386360,SMITE,action multiplayer steamachievements fullcontrollersupport steamtradingcards join 35 million players in smite the battleground of the gods wield thors hammer turn your foes to stone as medusa or flex your divine power as one of 100 other mythological icons become a god and play free today titanforgegames hirezstudios creatures  weapons  heros  costumes  weapons  guns  ammunition  shoot 
